complete_list,wri_base_name_old,wri_cap_old,wri_base_name_update,wri_cap_update,wri_year_update,wri_latitude update,wri_longtitude_update,action,note,
A Roang,A Roang,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1344326272.48/view,
Alin B1,Alin B1,,,,2019,16.402932,107.200401,edit,https://baothuathienhue.vn/co-phuong-an-cu-the-trong-van-hanh-an-toan-ho-dap-cac-thuy-dien-a77410.html,
An Diem 2,An Diem 2,,,,2010,19.1995,108.083,edit,https://cdm.unfccc.int/Projects/DB/DNV-CUK1249408838.42/view,
An Khanh I,An Khanh I,120,An Khanh,120,,,,edit,,
An Khe - Kankak,An Khe - Kankak,175,An Khe,160,,,,edit,"Original entry of ""An Khe - Kanak"" in WRI has the same capacity as the sum of An Khe and Kanak in market. But WRI still has another entry of Kanak. As the 0.18 MW is small, the entry was removed and An Khe - Kanak was splited into two entries to match market.",
Ayun Pa Sugar-Cane,Ayun Pa Sugar-Cane,,,,2010,13.4259,108.4242,edit,"https://www.google.com/maps/place/Ayun+Pa+sugar+factory/@13.4259656,108.4242665,15z/data=!4m5!3m4!1s0x0:0x48605f4ac4f579c5!8m2!3d13.4259656!4d108.4242665, http://eptc.vn/d4/news/Ky-hop-dong-Mua-ban-dien-moi-cho-cac-Nha-may-dien-NMD-ba-mia-AyunPa-Ninh-Hoa-va-Bourbon-Tay-Ninh-1-1290.aspx",
Ayun Thuong 1A,Ayun Thuong 1A,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/DNV-CUK1319695072.0/view,
Ba Ria,Ba Ria,,,,1993,,,edit,"http://icon.com.vn/vn-s83-89232-639/Cong-ty-CP-Nhiet-dien-Ba-Ria-Qua-khu-tu-hao-tuong-lai-phat-trien.aspx
2 units in 1991, 2 units in 1992, 3 units in 1993, 1 unit in 1996 - average 1993",
Ba Thuoc 1,Ba Thuoc 1,,Ba Thuoc 1,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1348368503.83/view,
Bac Binh,Bac Binh,33,Bac Binh,34,,,,edit,,
Bac Ha,,,Bac Ha,90,2011,,,add,"Bac Ha is listed in 2016 Market Report (p.5) as well, therefore, the plant is added into WRI data.
https://cdm.unfccc.int/Projects/DB/SQS1308664964.36/view ",
Bac Lieu,Bac Lieu,,,,2012,,,edit,"http://nangluongsachvietnam.vn/d6/vi-VN/news/Nha-may-dien-gio-Bac-Lieu-dat-san-luong-1-ty-kWh-dien-6-164-5988
10 panels in 2010, 52 panels in 2013 - average: 2012",
Bac Me,Bac Me,45,Bac Me,45.5,2014,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1356348207.72/view,
Ban Nhung Small,Ban Nhung Small,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/DNV-CUK1351870757.13/view,
Bao Nhai,Bao Nhai,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/SQS1343046355.13/view,
Binh Thuan,Binh Thuan,,,,2009,,,edit,https://vietnamnet.vn/vn/khoa-hoc/khanh-thanh-nha-may-dien-gio-lon-nhat-dong-nam-a-68988.html,
Bourbon,Bourbon,,,,1997,,,edit,http://www.thanhniennews.com/business/vietnam-needs-to-pay-more-to-incentivize-biomass-power-25356.html,
Buon Tua Srah,Buon Tua Srah,86,BuonTua Srah,86,,,,edit,,
Ca Mau 1,Ca Mau 1,1542,Ca Mau 1,750,2008,,,edit,https://en.wikipedia.org/wiki/C%C3%A0_Mau_Gas-Power-Fertilizer_Complex,
Ca Mau 2,,,Ca Mau 2,750,2008,,,add,https://en.wikipedia.org/wiki/C%C3%A0_Mau_Gas-Power-Fertilizer_Complex,
Cai Lan,Cai Lan,,,,2007,,,edit,https://www.vir.com.vn/cai-lan-steel-and-power-complex-teetering-on-the-brink-of-death-42080.html,
Cam Pha 1,Cam Pha 1,600,Cam Pha,670,2011,,,edit,"In 2018 market report, Cam Pha has 600 MW capacity, but in 2019, the capacity has increased to 670 MW as documented on the official document.

Name & Capacity in WRI are changed to match market report.

https://www.gem.wiki/Cam_Pha_power_station ",
Can Don,Can Don,77,Can Don,78,,,,edit,,
Cao Ngan,Cao Ngan,,,,2006,,,edit,http://globalenergyobservatory.org/geoid/41180,
Chau Thon,Chau Thon,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1265801456.96/view,
Chi Khe,Chi Khe,,,,2014,,,edit,https://cdm.unfccc.int/Projects/DB/CEC1298605475.66/view,
Chiem Hoa,Chiem Hoa,,,,2016,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1335433657.91/view,
Chieng Cong,Chieng Cong,,,,2010,,,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1267188851.32/view,
Chieng Ngam Thuong,Chieng Ngam Thuong,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/DNV-CUK1355723319.34/view,
Chu Linh And Coc San,Chu Linh And Coc San,,,,2016,,,edit,http://www.baolaocai.vn/kinh-te/thuy-dien-coc-san-chinh-thuc-di-vao-hoat-dong-z3n20160608155046647.htm,
Coc Dam,Coc Dam,,,,2010,,,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1262879636.38/view,
Da Dang-Dachomo,Da Dang-Dachomo,,,,2014,11.5809,108.3311,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1355655879.41/view?cp=1,
Da Den,Da Den,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1284534220.74/view,
Da Kai,Da Kai,,,,,,,edit,https://data.opendevelopmentmekong.net/vi/library_record/da-kai-hydropower,
Da Nhim Extension,,,Da Nhim Extension,45,2017,,,add,https://en.evn.com.vn/d6/news/Da-Nhim-Hydropower-Plant-Extension-Project-Out-of-extreme-weather-66-163-699.aspx,
Dak Glun 2 And 3,Dak Glun 2 And 3,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/SQS1343046238.71/view,
Dak Hnol,Dak Hnol,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1295859240.92/view,
Dak Me 1,Dak Me 1,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/DNV-CUK1309432958.49/view,
Dak Mek 3,Dak Mek 3,,,,2012,15.091,107.5328,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1341298790.09/view,
Dak Mi 2,Dak Mi 2,,,,2016,,,edit,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1340632272.51/view,
Dak Mi 3,Dak Mi 3,56,Dak Mi 3,63,2016,,,edit,https://cdm.unfccc.int/Projects/DB/SQS1348230197.7/view,
Dak Mi 4,Dak Mi 4,190,Dak Mi 4,208,,,,edit,,
Dak Mi 4C,Dak Mi 4C,18,,,,,,delete,,
Dak Pone,Dak Pone,,,,2011,14.34,108.1821,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1299418983.61/view?cp=1,
Dak Pring,Dak Pring,,,,2017,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1420529569.5/view,
Dak Psi 3,Dak Psi 3,,,,2012,,,edit,https://kontum.gov.vn/pages/detail/11269/Dua-vao-van-hanh-nha-may-thuy-dien-Dak-Psi-3.html,
Dak Psi 3 And 4,Dak Psi 3 And 4,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1307604296.67/view,
Dak Psi 4,Dak Psi 4,,,,2010,,,edit,http://dlhaiduong.evn.com.vn/d4/news/Nha-may-thuy-dien-Dak-Psi-Kon-Tum-hoa-luoi-dien-quoc-gia-1-1018.aspx,
Dak Rong 4,Dak Rong 4,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/BVQI1349877608.02/view,
Dak Rung,Dak Rung,,,,2010,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1268980063.08/view,
Dakrong 2,Dakrong 2,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/BVQI1352200991.25/view,
Dakrong 3,Dakrong 3,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/SQS1334320983.02/view,
Dakrosa 2,Dakrosa 2,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1332840150.25/view,
Dakrtih,Dakrtih,144,Dakr’tih,144,2011,,,edit,https://www.dahc.com.vn/index.php/gioi-thieu.html,
Dam'Bri,Dam'Bri,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/JCI1331096529.12/view,
Dam'Bri 1,Dam'Bri 1,,,,2014,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1340939409.81/view,
Dasiat,Dasiat,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1281322576.41/view,
Doc Cay,Doc Cay,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1303177950.93/view?cp=1,
Dong Chum 2,Dong Chum 2,,,,2013,20.5659,104.5728,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1342160001.55/view?cp=1,
Dong Ngai,Dong Ngai,,,,2015,21.2817,104.3306,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1352813129.87/view,
Dung Quat Oil Refinery,Dung Quat Oil Refinery,,,,2009,15.354849,108.822418,edit,https://www.reuters.com/article/us-vietnam-energy-refinery/vietnams-dung-quat-refinery-processes-first-batch-of-russian-sokol-crude-idUSKCN25609N,
Duyen Hai 1,Duyen Hai 1,1244,Duyen Hai 1,1245,2015,,,edit,,
Duyen Hai 3,Duyen Hai 3,622,Duyen Hai 3 Extension,688,2017,,,edit,"The original WRI entry refers to the extension, therefore, the ""Extension"" is added to the end of the name and the capacity is adjusted to match market. Additionally, another entry of Duyen Hai 3 was added.
https://www.gem.wiki/Duyen_Hai_Power_Generation_Complex ",
Duyen Hai 3,,,Duyen Hai 3,1245,2020,,,add,"The original WRI entry refers to the extension, therefore, the ""Extension"" is added to the end of the name and the capacity is adjusted to match market. Additionally, another entry of Duyen Hai 3 was added.
https://www.gem.wiki/Duyen_Hai_Power_Generation_Complex ",
Ea Drang 2,Ea Drang 2,,,,2010,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1269955617.9/view,
Ea Kar,Ea Kar,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/Germanischer1318591765.62/view,
Eatul 4,Eatul 4,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/DNV-CUK1353307688.58/view,
Formosa Dong Nai,Formosa Dong Nai,310,Formosa Dong Nai,450,2011,,,edit,"Formosa Dong Nai was 300 MW in 2016 Market Report. However, according to GEM, the plant expanded in 2016 for an additional 150 MW, hence the 450 MW in the 2018 Market Report.
https://www.gem.wiki/Nhon_Trach_Formosa_power_station",
Formosa Ha Tinh,Formosa Ha Tinh,150,Formosa Ha Tinh,676,2016,,,edit,"The plant was 650 MW in 2016 Market Report. It's possible that it was expanded between 2016 and 2018. Therefore, WRI data is edited to match the 2018 market.
https://www.gem.wiki/Ha_Tinh_Formosa_Plastics_Steel_Complex_power_station ",
Gia Lai Sugar-Cane,Gia Lai Sugar-Cane,,,,2014,,,edit,https://cdm.unfccc.int/Projects/DB/BVQI1354170248.97/view,
Group Of Nam Tha,Group Of Nam Tha,,,,2010,21.544,104.2213,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1292599521.06/view,
H'Mun,H'Mun,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/DNV-CUK1304432140.06/view,
Ha Rao Quan,Ha Rao Quan,,,,2010,,,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1262879601.25/view,
Ha Tay,Ha Tay,,,,2014,,,edit,https://cdm.unfccc.int/Projects/DB/TECO1339491111.55/view,
Hai Ha 1,Hai Ha 1,,,,,21.4154607,107.7430017,edit,https://www.gem.wiki/Hai_Ha_CHP_power_station,
Hai Phong 1,Hai Phong 1,600,Hai Phong,1200,2012,,,edit,"Merge Hai Phong 1 & Hai Phong 2 into one
https://www.gem.wiki/Hai_Phong_Thermal_Power_Station 
Year is the mean of four units after rounding (2x2011, 2013, 2014)",
Hai Phong 2,Hai Phong 2,600,,,,,,delete,Merge Hai Phong 1 & Hai Phong 2 into one,
Ham Thuan,,,Ham Thuan,300,,,,add,Split Ham Thuan - Da Mi to two,
Ham Thuan - Da Mi,Ham Thuan - Da Mi,475,Da Mi,175,,,,edit,Split Ham Thuan - Da Mi to two,
Hiep Phuoc,Hiep Phuoc,,,,1998,,,edit,http://www.hiep-phuoc.com/about-us,
Hoa Tham,Hoa Tham,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1349312465.63/view,
Hoi Xuan,Hoi Xuan,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/SQS1342766288.81/view?cp=1,
Ia H'Rung And Chu Prong,Ia H'Rung And Chu Prong,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1345699550.97/view,
Ia Puch 3,Ia Puch 3,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/DNV-CUK1304053851.49/view,
Kanak,Kanak,0.18,Kanak,13,,,,edit,"Original entry of ""An Khe - Kanak"" in WRI has the same capacity as the sum of An Khe and Kanak in market. But WRI still has another entry of Kanak. As the 0.18 MW is small, the entry was removed and An Khe - Kanak was splited into two entries to match market.",
Khanh Khe,Khanh Khe,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/BVQI1345628283.01/view,
Khau Chu,Khau Chu,,,,2015,,,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1352710807.22/view,
Khe Bo,Khe Bo,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/BVQI1356082462.11/view,
Khe Giong,Khe Giong,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/Germanischer1318597581.24/view,
Krong H'Nang,Krong H'Nang,64,Krong H’nang,64,,,,edit,,
La La,La La,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1301377895.16/view,
La Ngau,La Ngau,,,,2015,,,edit,https://cdm.unfccc.int/Projects/DB/KBS_Cert1343973223.47/view,
Lang Bang,Lang Bang,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1333002164.0/view,
Lao Cai - Lai Chau - Kontum Bundled,Lao Cai - Lai Chau - Kontum Bundled,,,,2011,22.3247,104.0337,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1292949913.35/view,
Lao Cai-Yen Bai Bundled,Lao Cai-Yen Bai Bundled,,,,2012,22.023,104.59,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1315388564.54/view,
Lap Vo Rice Husk Power Plant,Lap Vo Rice Husk Power Plant,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1268324091.74/view,
Long Phu 1,Long Phu 1,,,,,9.710813,106.079221,edit,"https://www.google.com/maps/place/9%C2%B042'38.9%22N+106%C2%B004'45.2%22E/@9.7108183,106.0770323,17z/data=!3m1!4b1!4m13!1m6!3m5!1s0x0:0x8777d2abde2df7e6!2sLong+Phu+1+Power+Plant!8m2!3d9.7107068!4d106.0792208!3m5!1s0x0:0x0!7e2!8m2!3d9.7108126!4d106.0792208",
Mao Khe,Mao Khe,,,,2013,,,edit,https://www.gem.wiki/Mao_Khe_power_station,
Minh Luong,Minh Luong,,,,2012,22.0324,104.072,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1310469714.16/view,
Mong Duong 1,Mong Duong 1,1080,Mong Duong,1080,2015,,,edit,,
Mong Duong 2,Mong Duong 2,1120,Mong Duong 2,1200,2015,,,edit,https://www.gem.wiki/Mong_Duong_power_station ,
Muong Hum,Muong Hum,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1309355417.73/view,
Muong Sang,Muong Sang,,,,2009,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1232029207.02/view,
Muong Sang Thu Cuc Tat Ngoang,Muong Sang Thu Cuc Tat Ngoang,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/TECO1341309790.26/view,
Na Duong,Na Duong,110,Na Duong,111.2,2005,,,edit,https://www.gem.wiki/Na_Duong_power_station,
Na Duong 2,Na Duong 2,,,,,21.69829,106.97604,edit,https://www.gem.wiki/Na_Duong_power_station,
Nam Can 2,Nam Can 2,,,,2014,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1348224100.52/view,
"Nam Cau 1, 2","Nam Cau 1, 2",,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1342584452.49/view,
"Nam Cau 1,2",,,"Nam Cau 1,2",,2014,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1342584452.49/view,
Nam Chanh,Nam Chanh,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/SQS1317048428.13/view,
Nam Chim,Nam Chim,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/KBS_Cert1317458082.1/view,
Nam Cong 3,Nam Cong 3,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1353468041.06/view,
Nam Dong 4,Nam Dong 4,,,,2013,21.36,104.27,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1341313849.97/view?cp=1,
Nam Gion,Nam Gion,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1252940471.59/view,
Nam He,Nam He,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/TECO1355361075.51/view,
Nam Hoa 2,Nam Hoa 2,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1346827281.98/view?cp=1,
Nam Hong,Nam Hong,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/CEC1314779963.83/view,
Nam Khanh,Nam Khanh,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1311130261.75/view?cp=2,
Nam Khoa 1&2,Nam Khoa 1&2,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1349659260.5/view,
Nam Khoa 3,Nam Khoa 3,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1253062737.99/view,
Nam Luc,Nam Luc,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/DNV-CUK1340013893.38/view,
Nam Mu and Khuoi Luong,,,Nam Mu and Khuoi Luong,,2012,22.0227,103.5923,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1291039167.3/view,
Nam Ngan,Nam Ngan,,,,2010,22.3625,104.5445,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1279520903.5/view?cp=2,
Nam Non,Nam Non,,,,2014,,,edit,https://cdm.unfccc.int/Projects/DB/CEC1333011736.41/view,
Nam Nua,Nam Nua,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1323884259.11/view,
Nam Phang,Nam Phang,,,,2012,22.2515,104.1905,edit,https://cdm.unfccc.int/Projects/DB/RWTUV1303217574.68/view,
Nam Si Luong 3,Nam Si Luong 3,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1353052436.59/view,
Nam Si Luong 4,Nam Si Luong 4,,,,2013,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1353379238.51/view,
Nam Soi & Nam Cong,Nam Soi & Nam Cong,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/SGS-UKL1299249675.44/view,
Nam Tang And Na Hau,Nam Tang And Na Hau,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/KEMCO1273213091.08/view,
Nam Tha 3,Nam Tha 3,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/JCI1343092301.3/view,
Nam Toong,Nam Toong,,,,2014,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1343185387.3/view,
Nam Trai 4,Nam Trai 4,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1305860656.86/view,
Nam Xa,Nam Xa,,,,2014,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-RHEIN1348817467.56/view,
Nam Xay Noi 2,Nam Xay Noi 2,,,,2012,,,edit,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1321277438.77/view,
Nghi Son 1,Nghi Son 1,,,,2014,,,edit,http://makemamecc.com/en/Projects/petroleum-projects/nghi-son-1-thermal-power-plant/ ,
Ngoi Xan,Ngoi Xan,,,,2011,,,edit,https://cdm.unfccc.int/Projects/DB/SGS-UKL1300102012.75/view,
Nhan Hac and Sao Va,Nhan Hac and Sao Va,,,,2014,,,edit,https://cdm.unfccc.int/Projects/DB/CEC1309759086.62/view,
Nho Que 1,,,Nho Que 1,32,2015,23.1352,105.2538,add,"https://vi.wikipedia.org/wiki/Thủy_điện_Nho_Quế - for coordinates, The plant is listed in 2016 Market Report, therefore, its added.
https://en.vdb.gov.vn/news3522/credit-agreement-signing-ceremony-for-nho-que-1-hydropower-project-",
